time,phoneme,F1,F2,F3,,
2.088322458,/ɑ/,725.8293351,1192.05841,2643.675139,,
2.315787944,/a/,493.7152417,1062.265956,1457.851935,,
2.54893136,/a/,745.611198,1382.609434,1936.632358,,
2.61477544,/I/,581.0840575,2035.296259,2368.321862,,
2.779277055,/a/,868.3605086,1782.276544,2760.968854,,
2.948072889,/e/,639.5904448,1277.057297,1939.192076,,
2.996566719,/ɶ/,690.8524135,1167.474074,1545.775763,,
3.924299048,/a/,998.9604936,1322.595727,2131.229217,,
4.303856529,/e/,478.1247253,2524.721417,2601.911499,,
4.613470985,/u/,497.7501579,1239.099126,2148.725805,,
4.73936843,/ɑ/,764.5653678,1327.859336,2752.369715,,
4.961320962,/a/,579.3327141,1243.650697,2064.985131,,
5.177508875,/a/,757.8296235,1347.321126,1792.281951,,
5.2474519,/I/,657.7201624,1147.457108,2217.196023,,
5.444567498,/a/,790.6107412,1488.007526,1859.961799,,
5.607767889,/e/,646.2620028,1857.547273,1970.607922,,
5.645070836,/ɶ/,669.9998971,1563.897837,1978.170554,,
6.632826232,/a/,982.1730741,1439.586682,2256.432839,,
7.01145114,/e/,511.1162256,2591.383319,2643.687024,,
7.33225648,/u/,484.7779021,1239.211975,2670.773951,,
7.477737972,/ɑ/,783.8229041,1295.004523,2884.511884,,
7.715544256,/a/,486.6204232,1156.775075,2139.949029,,
7.896463547,/a/,772.8311188,1503.267143,1755.562279,,
7.952417967,/I/,657.687086,1922.120389,2504.177704,,
8.136134979,/a/,854.5601461,1829.613606,2881.097358,,
8.296537649,/e/,628.3213724,1792.408253,1847.330845,,
8.33757089,/ɶ/,591.3502233,1350.634298,2218.959959,,
1.09644839,/a/,922.2721299,1327.117443,1757.513103,,
1.462745992,/ʌ/,366.1878271,741.0022308,1518.098006,,
1.802040886,/ɔ/,576.5435812,1102.361001,2909.600756,,
1.861916456,/u/,577.5790903,888.2855878,2252.223344,,
2.036847041,/ɤ/,515.3758875,555.6636928,1607.684056,,
2.254042734,/a/,775.6965122,1210.220005,1610.37807,,
2.514677566,/ɯ/,456.1119449,924.4324598,1641.964105,,
2.68608606,/ʊ/,512.8305713,808.5987628,1817.17053,,
3.635872256,/a/,999.2615341,1521.594065,1845.73415,,
4.010562653,/ʌ/,542.5629246,938.4085642,1676.640358,,
4.320736822,/ɔ/,605.4097151,1172.949482,2826.760716,,
4.401795672,/u/,571.1189296,867.2053383,954.0461121,,
